이름,평점,위치,카테고리,리뷰 수,조회 수
미라이,4.8,가로수길,이자카야 / 오뎅 / 꼬치,122,"456,964"
시라카와,4.8,신사/압구정,이자카야 / 오뎅 / 꼬치,67,"279,464"
페리지,4.8,삼성동,기타 양식,35,"24,934"
맛짱조개,4.8,논현동,해산물 요리,59,"111,305"
상진식감,4.8,가로수길,까스 요리,19,"10,163"
스시카나에,4.7,청담동,회 / 스시,96,"354,004"
BISTROT de YOUNTVILLE,4.7,청담동,프랑스 음식,151,"330,518"
알라프리마,4.7,논현동,이탈리안,82,"234,587"
스시키,4.7,역삼/선릉,회 / 스시,45,"188,166"
소이연남마오,4.7,신사/압구정,태국 음식,71,"176,729"
인딕 슬로우,4.7,가로수길,인도 음식,74,"145,430"
일리조,4.7,신사/압구정,이탈리안,49,"53,796"
삐아프,4.7,가로수길,카페 / 디저트,78,"153,096"
키겐,4.7,청담동,기타 일식,17,"42,028"
스시렌,4.7,청담동,회 / 스시,11,"9,004"
로바타탄요,4.6,신사/압구정,정통 일식 / 일반 일식,93,"223,129"
콴안다오,4.6,가로수길,베트남 음식,214,"264,698"
와라야키 쿠이신보,4.6,가로수길,이자카야 / 오뎅 / 꼬치,124,"438,692"
가담,4.6,신사/압구정,정통 중식 / 일반 중식,145,"277,545"
길목,4.6,삼성동,고기 요리,136,"216,171"
껠끄쇼즈,4.6,대치동,카페 / 디저트,140,"164,883"
가디록,4.6,신사/압구정,이탈리안,59,"142,523"
농민백암왕순대 (강남역점),4.6,강남역,탕 / 찌개 / 전골,269,"483,331"
보타르가,4.6,신사/압구정,이탈리안,51,"64,472"
페어링룸,4.6,청담동,이탈리안,92,"71,885"
슬로우치즈,4.6,청담동,브런치 / 버거 / 샌드위치,70,"143,566"
까폼,4.6,신사/압구정,태국 음식,61,"62,997"
미우,4.6,신사/압구정,고기 요리,12,"7,282"
엘픽,4.6,청담동,이탈리안,13,"9,711"
호시쿠,4.6,청담동,회 / 스시,17,"8,124"
고메램,4.6,삼성동,스테이크 / 바베큐,44,"63,831"
신비갈비살 (본점),4.6,가로수길,고기 요리,26,"75,426"
돈불리제담 (가로수길점),4.6,가로수길,고기 요리,21,"28,236"
왕스덕 (논현점),4.6,논현동,정통 중식 / 일반 중식,21,"42,144"
피아마,4.6,청담동,칵테일 / 와인,5,"2,865"
비야게레로,4.5,삼성동,남미 음식,330,"191,720"
파씨오네,4.5,신사/압구정,프랑스 음식,149,"513,030"
꼼다비뛰드,4.5,강남역,베이커리,156,"254,267"
톡톡,4.5,청담동,이탈리안,168,"344,252"
진미평양냉면,4.5,논현동,국수 / 면 요리,316,"223,041"
이치에,4.5,신사/압구정,이자카야 / 오뎅 / 꼬치,171,"612,503"
봉밀가,4.5,삼성동,국수 / 면 요리,125,"65,755"
칙피스,4.5,가로수길,세계음식 기타,186,"145,622"
롸카두들내쉬빌핫치킨 (압구정점),4.5,신사/압구정,브런치 / 버거 / 샌드위치,105,"110,892"
카츠바이콘반,4.5,신사/압구정,까스 요리,119,"72,472"
권숙수,4.5,청담동,한정식 / 백반 / 정통 한식,36,"104,791"
새들러하우스,4.5,가로수길,카페 / 디저트,114,"67,206"
패티앤베지스,4.5,가로수길,브런치 / 버거 / 샌드위치,75,"47,652"
스시 시미즈,4.5,신사/압구정,회 / 스시,27,"62,184"
코슌,4.5,신사/압구정,이자카야 / 오뎅 / 꼬치,23,"36,306"
매덕스피자 (신사점),4.5,가로수길,기타 양식,71,"96,621"
덕후선생,4.5,청담동,기타 중식,52,"34,101"
르뱅룰즈,4.5,삼성동,베이커리,33,"12,534"
익스퀴진,4.5,청담동,닭 / 오리 요리,23,"54,963"
압구정공주떡집,4.5,신사/압구정,카페 / 디저트,122,"262,845"
화이트와인개러지,4.5,청담동,칵테일 / 와인,15,"15,967"
갓포아키 (삼성점),4.5,삼성동,이자카야 / 오뎅 / 꼬치,49,"125,500"
강남진해장,4.5,강남역,탕 / 찌개 / 전골,83,"158,518"
야키토리묵 (신사점),4.5,가로수길,이자카야 / 오뎅 / 꼬치,12,"15,655"
흐비지떼,4.5,역삼/선릉,카페 / 디저트,21,"14,077"
스기타마,4.5,청담동,이자카야 / 오뎅 / 꼬치,18,"44,740"
사브서울,4.5,신사/압구정,칵테일 / 와인,16,"9,287"
따띠따띠,4.5,신사/압구정,퓨전 양식,12,"14,599"
판동면옥,4.5,대치동,국수 / 면 요리,17,"9,585"
로바타라이브라,4.5,청담동,이자카야 / 오뎅 / 꼬치,12,"18,984"
비스트로앤트로,4.5,신사/압구정,다국적 퓨전,12,"8,051"
양재초밥,4.5,도곡동,회 / 스시,28,"36,411"
PIZZA PIZZA,4.5,역삼/선릉,기타 양식,8,"7,290"
Sogak,4.5,가로수길,정통 중식 / 일반 중식,24,"16,216"
갓포마코토,4.5,신사/압구정,기타 일식,16,"17,419"
챔프커피 (현대백화점 무역센터점),4.5,삼성동,카페 / 디저트,34,"41,725"
한상더테이블,4.5,청담동,퓨전 한식,5,"2,557"
더그레이트홍연 (조선팰리스점),4.5,역삼/선릉,정통 중식 / 일반 중식,5,"3,142"
SUSHI702,4.5,신사/압구정,회 / 스시,6,"7,588"
금복당 (코엑스몰),4.5,삼성동,한정식 / 백반 / 정통 한식,7,"15,253"
드링크얼랏,4.4,삼성동,카페 / 디저트,237,"290,477"
지아니스나폴리 (역삼 본점),4.4,역삼/선릉,이탈리안,290,"362,210"
골드피쉬딤섬퀴진,4.4,신사/압구정,딤섬 / 만두,248,"321,468"
정돈 프리미엄,4.4,가로수길,까스 요리,224,"178,566"
스시코우지,4.4,논현동,회 / 스시,91,"291,589"
중앙해장,4.4,대치동,탕 / 찌개 / 전골,305,"404,133"
장스테이크,4.4,신사/압구정,스테이크 / 바베큐,150,"377,201"
밍글스,4.4,청담동,퓨전 한식,74,"110,573"
경천애인 2237 (삼성점),4.4,역삼/선릉,고기 요리,161,"496,795"
젠제로,4.4,삼성동,카페 / 디저트,206,"58,955"
부타이,4.4,대치동,정통 일식 / 일반 일식,165,"134,231"
갓포아키 (도산공원점),4.4,신사/압구정,이자카야 / 오뎅 / 꼬치,134,"433,516"
