이름,평점,위치,카테고리,리뷰 수,조회 수
쉐시몽,4.8,홍대,프랑스 음식,44,"121,725"
카와카츠 (합정점),4.8,합정/망원,까스 요리,65,"48,010"
야키토리나루토,4.8,홍대,정통 일식 / 일반 일식,23,"30,901"
카와카츠,4.7,홍대,까스 요리,184,"190,568"
코바시,4.7,합정/망원,정통 일식 / 일반 일식,11,"13,987"
파델라,4.7,연남동,이탈리안,54,"112,198"
라바즈,4.7,합정/망원,베이커리,32,"19,758"
로랑 (휴업중),4.7,합정/망원,회 / 스시,12,"21,639"
멘타카무쇼,4.7,홍대,라멘 / 소바 / 우동,23,"26,851"
당도,4.6,합정/망원,카페 / 디저트,251,"161,422"
쿠이신보,4.6,합정/망원,이자카야 / 오뎅 / 꼬치,124,"330,747"
야키토리묵,4.6,연남동,이자카야 / 오뎅 / 꼬치,44,"107,456"
토파,4.6,합정/망원,이탈리안,77,"163,015"
이치류 (홍대본점),4.6,홍대,스테이크 / 바베큐,122,"439,550"
엘리스리틀이태리 (공덕점),4.6,마포/공덕,이탈리안,53,"88,508"
파이리퍼블릭,4.6,연남동,다국적 퓨전,43,"88,042"
우주옥,4.6,연남동,국수 / 면 요리,32,"44,081"
우동 이요이요,4.6,마포/공덕,라멘 / 소바 / 우동,29,"25,876"
제스티살룬 (연남점),4.6,연남동,브런치 / 버거 / 샌드위치,47,"25,722"
오츠에스프레소 (마포점),4.6,홍대,카페 / 디저트,43,"39,635"
마루심 (마포점),4.6,마포/공덕,돈부리 / 일본 카레 / 벤토,49,"94,177"
젤라떼리아 에따,4.6,홍대,카페 / 디저트,30,"12,804"
윤서울,4.6,마포/공덕,퓨전 한식,10,"11,381"
시연,4.6,마포/공덕,이탈리안,4,390
르규옹,4.6,연남동,이탈리안,7,"9,530"
오레노라멘 (본점),4.5,합정/망원,라멘 / 소바 / 우동,520,"407,086"
카밀로라자네리아,4.5,합정/망원,이탈리안,244,"362,527"
진만두,4.5,홍대,딤섬 / 만두,268,"519,605"
산울림1992,4.5,홍대,전통 주점 / 포차,192,"393,844"
소금집델리 망원,4.5,합정/망원,퓨전 양식,235,"193,250"
듁스커피,4.5,홍대,카페 / 디저트,156,"241,481"
리틀빅토리,4.5,연남동,카페 / 디저트,123,"166,554"
라무라,4.5,합정/망원,라멘 / 소바 / 우동,94,"84,109"
혼네,4.5,연남동,라멘 / 소바 / 우동,150,"165,310"
카카오다다,4.5,합정/망원,카페 / 디저트,57,"102,166"
멘야준,4.5,홍대,라멘 / 소바 / 우동,89,"64,184"
소점,4.5,연남동,철판 요리,62,"109,033"
피에트라,4.5,연남동,카페 / 디저트,23,"4,143"
비파티세리 (공덕점),4.5,마포/공덕,카페 / 디저트,48,"26,398"
기노,4.5,마포/공덕,이자카야 / 오뎅 / 꼬치,33,"86,808"
하나라멘,4.5,연남동,라멘 / 소바 / 우동,30,"10,502"
무겐스위치,4.5,연남동,라멘 / 소바 / 우동,15,"6,270"
야경,4.5,연남동,이자카야 / 오뎅 / 꼬치,26,"50,794"
전주상회,4.5,연남동,일반 주점,12,"12,145"
오스테리아샘킴,4.4,합정/망원,이탈리안,186,"303,745"
포비 (합정점),4.4,합정/망원,카페 / 디저트,152,"97,112"
교다이야,4.4,합정/망원,라멘 / 소바 / 우동,198,"135,364"
요코쵸,4.4,연남동,이자카야 / 오뎅 / 꼬치,108,"292,546"
첸토페르첸토,4.4,합정/망원,이탈리안,93,"141,850"
라오삐약,4.4,합정/망원,다국적 아시아 음식,117,"125,792"
진진,4.4,홍대,정통 중식 / 일반 중식,94,"106,964"
마시타야,4.4,홍대,라멘 / 소바 / 우동,125,"133,155"
미야자키상점,4.4,홍대,이자카야 / 오뎅 / 꼬치,64,"134,036"
스파카나폴리 (본점),4.4,합정/망원,이탈리안,182,"167,314"
원조 조박집,4.4,마포/공덕,고기 요리,120,"200,045"
최강금돈까스,4.4,합정/망원,기타 한식,72,"36,056"
키오스크,4.4,합정/망원,카페 / 디저트,106,"120,531"
망원동즉석우동,4.4,합정/망원,라멘 / 소바 / 우동,126,"106,822"
티크닉,4.4,연남동,카페 / 디저트,59,"116,450"
담택,4.4,합정/망원,라멘 / 소바 / 우동,83,"68,955"
아꽁뜨,4.4,연남동,카페 / 디저트,33,"20,242"
블루쿠치나,4.4,합정/망원,이탈리안,62,"115,151"
조용한저녁,4.4,홍대,패밀리 레스토랑,43,"66,245"
쿄라멘,4.4,연남동,라멘 / 소바 / 우동,61,"35,814"
바다회사랑 (2호점),4.4,홍대,해산물 요리,78,"88,421"
Osteria Ora,4.4,홍대,이탈리안,30,"29,802"
상해소흘,4.4,연남동,정통 중식 / 일반 중식,35,"33,091"
리플레토레,4.4,합정/망원,이탈리안,13,"8,371"
멘야하나비 (합정점),4.4,합정/망원,라멘 / 소바 / 우동,45,"39,776"
아소토,4.4,합정/망원,이자카야 / 오뎅 / 꼬치,19,"35,510"
온정,4.4,연남동,돈부리 / 일본 카레 / 벤토,43,"71,603"
조앤도슨,4.4,연남동,카페 / 디저트,19,"5,345"
커피하우스마이샤,4.4,합정/망원,카페 / 디저트,10,"4,048"
1989버거스탠드,4.4,홍대,브런치 / 버거 / 샌드위치,7,"2,871"
차차밀로,4.4,연남동,퓨전 한식,4,"1,111"
정성,4.4,합정/망원,까스 요리,8,"5,224"
고도식 (마포점),4.4,마포/공덕,고기 요리,5,"6,541"
비스트로오라,4.4,연남동,이탈리안,4,"1,304"
나성타코,4.4,마포/공덕,남미 음식,7,"7,284"
리밀커피&밀리,4.4,마포/공덕,카페 / 디저트,8,"7,115"
지알로파스타바,4.4,마포/공덕,기타 양식,5,"4,780"
상암회관,4.4,마포/공덕,국수 / 면 요리,9,"6,874"
문데이,4.4,합정/망원,기타 양식,6,"5,962"
쿠시파파,4.4,연남동,이자카야 / 오뎅 / 꼬치,5,"2,452"
