이름,평점,위치,카테고리,리뷰 수,조회 수
타쿠미곤,4.7,서래마을,정통 일식 / 일반 일식,62,"239,144"
마루심,4.7,방배/반포/잠원,돈부리 / 일본 카레 / 벤토,218,"462,852"
메종조,4.7,교대/서초,프랑스 음식,27,"59,195"
밴건디 스테이크 하우스,4.6,서래마을,스테이크 / 바베큐,141,"159,650"
서관면옥,4.6,교대/서초,국수 / 면 요리,165,"129,882"
꿉당,4.6,방배/반포/잠원,고기 요리,63,"83,633"
스시 윤슬,4.6,교대/서초,회 / 스시,15,"40,063"
옥토스,4.6,강남역,해산물 요리,10,"29,535"
스시야스다,4.6,교대/서초,회 / 스시,4,"3,029"
소울브레드,4.5,양재동,베이커리,112,"190,926"
플레이버즈 (JW메리어트 호텔 서울),4.5,방배/반포/잠원,뷔페,37,"60,624"
노스티모,4.5,방배/반포/잠원,세계음식 기타,30,"25,145"
딤딤섬 (센트럴시티점),4.5,방배/반포/잠원,딤섬 / 만두,49,"35,749"
윤,4.5,서래마을,프랑스 음식,40,"105,905"
큐뮬러스 (강남점),4.5,교대/서초,브런치 / 버거 / 샌드위치,47,"55,864"
이누식당,4.5,방배/반포/잠원,이탈리안,47,"87,387"
피제리아호키포키,4.5,교대/서초,기타 양식,50,"41,273"
더 마고 그릴 (JW메리어트 호텔 서울),4.5,방배/반포/잠원,퓨전 양식,21,"66,074"
모트32,4.5,방배/반포/잠원,퓨전 중식,6,"13,491"
반티엔야오카오위 (강남점),4.5,강남역,기타 중식,24,"31,594"
비스테까 (신세계백화점 강남점),4.5,방배/반포/잠원,카페 / 디저트,26,"25,816"
남부럽지않은고기한상,4.5,교대/서초,고기 요리,6,"1,705"
스와니예,4.4,서래마을,퓨전 양식,89,"134,208"
루엘드파리,4.4,교대/서초,베이커리,174,"140,038"
설눈,4.4,교대/서초,국수 / 면 요리,87,"63,808"
태양커피,4.4,방배/반포/잠원,카페 / 디저트,152,"61,481"
멘야하나비 (신사점),4.4,신사/압구정,라멘 / 소바 / 우동,150,"114,762"
청류벽,4.4,강남역,국수 / 면 요리,68,"83,689"
볼라레,4.4,서래마을,이탈리안,90,"91,576"
키세츠스시,4.4,동작/사당,회 / 스시,16,"26,252"
소이연남 (파미에스테이션),4.4,방배/반포/잠원,태국 음식,101,"92,104"
하레,4.4,교대/서초,이자카야 / 오뎅 / 꼬치,50,"105,595"
봉산옥 (서초동점),4.4,교대/서초,한정식 / 백반 / 정통 한식,116,"179,296"
무드서울,4.4,방배/반포/잠원,칵테일 / 와인,12,"4,551"
한우다이닝 울릉,4.4,강남역,고기 요리,18,"41,742"
신숙,4.4,교대/서초,국수 / 면 요리,45,"53,164"
크레미엘,4.4,양재동,베이커리,15,"9,333"
FOURB (강남점),4.4,방배/반포/잠원,카페 / 디저트,19,"20,252"
앙띠크,4.4,교대/서초,카페 / 디저트,27,"15,779"
모멍데모시옹,4.4,교대/서초,카페 / 디저트,16,"13,994"
3대삼계장인,4.4,교대/서초,탕 / 찌개 / 전골,25,"61,228"
제이에스가든 (잠원점),4.4,방배/반포/잠원,정통 중식 / 일반 중식,19,"37,061"
금강바비큐,4.4,강남역,치킨 / 호프 / 펍,15,"22,269"
케빈의집,4.4,방배/반포/잠원,이탈리안,5,"3,142"
시올돈 (사당역점),4.4,방배/반포/잠원,까스 요리,12,"5,844"
피노키오,4.4,방배/반포/잠원,카페 / 디저트,7,782
태양커피,4.4,방배/반포/잠원,카페 / 디저트,18,"6,319"
프릳츠 (양재점),4.3,교대/서초,카페 / 디저트,151,"73,574"
스시려 프리미엄,4.3,강남역,회 / 스시,50,"159,878"
스시고,4.3,서래마을,회 / 스시,65,"163,266"
임병주산동칼국수 (본점),4.3,교대/서초,국수 / 면 요리,227,"193,374"
스시금강 (서초점),4.3,교대/서초,회 / 스시,19,"13,778"
테이블포포 (본점),4.3,서래마을,이탈리안,40,"56,063"
레프레미스,4.3,교대/서초,카페 / 디저트,119,"101,591"
베이크 (신세계백화점강남점),4.3,방배/반포/잠원,카페 / 디저트,175,"168,269"
스시쇼우,4.3,서래마을,회 / 스시,23,"23,540"
차알 (파미에스테이션),4.3,방배/반포/잠원,정통 중식 / 일반 중식,92,"103,202"
하이디라오 (서초지점),4.3,강남역,기타 중식,125,"186,090"
젤라띠젤라띠 (파미에스테이션),4.3,방배/반포/잠원,카페 / 디저트,170,"81,966"
크라이치즈버거 (양재역점),4.3,교대/서초,브런치 / 버거 / 샌드위치,95,"52,223"
슈엔,4.3,방배/반포/잠원,이자카야 / 오뎅 / 꼬치,17,"22,050"
봇타야산,4.3,방배/반포/잠원,철판 요리,21,"62,753"
푸드더즈매터,4.3,서래마을,기타 양식,25,"22,174"
천년식향,4.3,교대/서초,기타 양식,18,"39,655"
제주성산포바당,4.3,교대/서초,해산물 요리,17,"18,962"
10월19일,4.3,교대/서초,카페 / 디저트,19,"27,571"
헬무트커피로스터스,4.3,방배/반포/잠원,카페 / 디저트,46,"23,869"
비너스본사건너편갈비살,4.3,방배/반포/잠원,고기 요리,33,"41,474"
신사약방,4.3,방배/반포/잠원,고기 요리,13,"4,139"
라씨에트,4.3,서래마을,프랑스 음식,20,"41,477"
서동한우 (강남점),4.3,강남역,고기 요리,18,"57,946"
카츠8 (강남점),4.3,강남역,까스 요리,35,"38,623"
유나기,4.3,방배/반포/잠원,해산물 요리,13,"7,950"
갈쿠리와소쿠리,4.3,방배/반포/잠원,국수 / 면 요리,32,"34,631"
곤드레집,4.3,교대/서초,한정식 / 백반 / 정통 한식,39,"46,017"
호피덕,4.3,양재동,퓨전 양식,27,"67,642"
손욱정힘불끈황소곱창,4.3,강남역,고기 요리,24,"36,414"
미국식,4.3,방배/반포/잠원,브런치 / 버거 / 샌드위치,20,"12,819"
홍두깨수타손칼국수,4.3,방배/반포/잠원,국수 / 면 요리,6,"4,803"
맛집부추곱창,4.3,방배/반포/잠원,고기 요리,27,"57,966"
까르니브라질그릴,4.3,방배/반포/잠원,남미 음식,15,"20,877"
고메램 (강남점),4.3,강남역,고기 요리,12,"9,964"
강남명전,4.3,교대/서초,한정식 / 백반 / 정통 한식,17,"24,497"
성천막국수 (논현점),4.3,방배/반포/잠원,국수 / 면 요리,9,"4,194"
이딸리아,4.3,서래마을,이탈리안,13,"17,230"
일미옥,4.3,방배/반포/잠원,탕 / 찌개 / 전골,22,"22,437"
라바트리,4.3,방배/반포/잠원,카페 / 디저트,8,"2,745"
디토 (서초점),4.3,교대/서초,이탈리안,9,"14,985"
룰커피,4.3,교대/서초,카페 / 디저트,9,"1,903"
자인뭉티기,4.3,교대/서초,고기 요리,11,"18,540"
더블딥커피,4.3,방배/반포/잠원,카페 / 디저트,9,"3,969"
한성양꼬치 (교대2호점),4.3,교대/서초,기타 중식,6,"5,110"
진대감차돌삼합 (양재점),4.3,양재동,고기 요리,14,"14,903"
큐뮬러스 (파미에스테이션점),4.3,방배/반포/잠원,브런치 / 버거 / 샌드위치,4,402
볼빨간딱새우,4.3,방배/반포/잠원,이자카야 / 오뎅 / 꼬치,7,"4,601"
큰돈가 (신사점),4.3,방배/반포/잠원,고기 요리,4,499
바른고기바른가격 정육점,4.3,방배/반포/잠원,고기 요리,7,"5,221"
메종엠오,4.2,방배/반포/잠원,베이커리,225,"206,552"
로리스더프라임립,4.2,강남역,스테이크 / 바베큐,194,"319,412"
백년옥 (본점),4.2,교대/서초,탕 / 찌개 / 전골,224,"236,688"
모범갈빗살 (강남역본점),4.2,강남역,고기 요리,92,"223,799"
낙원타코 (강남역점),4.2,강남역,남미 음식,108,"78,273"
주,4.2,방배/반포/잠원,정통 중식 / 일반 중식,112,"86,047"
가츠오,4.2,교대/서초,까스 요리,88,"70,774"
길버트버거앤프라이즈 (서초점),4.2,교대/서초,브런치 / 버거 / 샌드위치,103,"66,610"
한신치킨호프,4.2,방배/반포/잠원,치킨 / 호프 / 펍,64,"90,300"
시골야채된장,4.2,강남역,탕 / 찌개 / 전골,63,"88,856"
스바루 (본점),4.2,방배/반포/잠원,라멘 / 소바 / 우동,68,"47,186"
다피타,4.2,교대/서초,이탈리안,47,"65,286"
카페로우슬로우,4.2,동작/사당,카페 / 디저트,43,"38,470"
오리에,4.2,방배/반포/잠원,브런치 / 버거 / 샌드위치,21,"19,576"
혜장국,4.2,강남역,탕 / 찌개 / 전골,24,"11,916"
세시셀라팩토리,4.2,동작/사당,카페 / 디저트,16,"4,288"
바른식시골보쌈감자옹심이 (사당별관),4.2,방배/반포/잠원,고기 요리,51,"122,055"
멘카오리,4.2,강남역,라멘 / 소바 / 우동,23,"33,496"
리프레셔스,4.2,방배/반포/잠원,카페 / 디저트,32,"18,024"
시올돈 (방배점),4.2,방배/반포/잠원,까스 요리,25,"16,711"
아티장베이커스 (서래점),4.2,서래마을,베이커리,39,"35,413"
더진미평냉,4.2,교대/서초,국수 / 면 요리,21,"10,156"
따뚱 (더리버사이드호텔),4.2,방배/반포/잠원,정통 중식 / 일반 중식,26,"62,598"
Merci,4.2,양재동,프랑스 음식,13,"15,361"
영스타,4.2,서래마을,고기 요리,16,"28,558"
고스트요거트 (교대본점),4.2,교대/서초,카페 / 디저트,22,"20,962"
신사 고집,4.2,방배/반포/잠원,고기 요리,14,"17,122"
모던샤브하우스 (센트럴시티점),4.2,방배/반포/잠원,탕 / 찌개 / 전골,6,"2,694"
캔프 치킨,4.2,교대/서초,닭 / 오리 요리,21,"61,082"
카페 원 (JW메리어트 호텔 서울),4.2,방배/반포/잠원,카페 / 디저트,8,"8,636"
언니가숨겨놓은과자상자,4.2,방배/반포/잠원,카페 / 디저트,12,"4,741"
조양관,4.2,강남역,한정식 / 백반 / 정통 한식,9,"16,488"
산도,4.2,교대/서초,브런치 / 버거 / 샌드위치,6,"3,253"
발콩,4.2,방배/반포/잠원,베이커리,6,"1,131"
백년옥 (신관),4.2,교대/서초,탕 / 찌개 / 전골,15,"13,293"
삼호복집 (서초점),4.2,교대/서초,해산물 요리,9,"17,982"
강셰프스토리,4.2,방배/반포/잠원,회 / 스시,11,"14,102"
파티시안,4.2,방배/반포/잠원,카페 / 디저트,4,"1,221"
이케맨이자카야 (강남점),4.2,강남역,이자카야 / 오뎅 / 꼬치,4,"5,223"
해브커피,4.2,방배/반포/잠원,카페 / 디저트,4,621
도우룸,4.1,방배/반포/잠원,기타 양식,110,"118,252"
마얘,4.1,서래마을,카페 / 디저트,152,"53,252"
스시타노,4.1,서래마을,회 / 스시,43,"52,787"
브루클린더버거조인트 (본점),4.1,서래마을,브런치 / 버거 / 샌드위치,309,"99,797"
밀갸또,4.1,교대/서초,카페 / 디저트,103,"88,438"
스시만,4.1,서래마을,회 / 스시,26,"50,294"
릿잇타미,4.1,동작/사당,브런치 / 버거 / 샌드위치,114,"102,891"
일일향 (3호점),4.1,강남역,정통 중식 / 일반 중식,81,"135,815"
장꼬방,4.1,강남역,카페 / 디저트,152,"134,134"
세광양대창 (교대본점),4.1,교대/서초,고기 요리,83,"48,857"
쿤쏨차이,4.1,교대/서초,태국 음식,48,"42,026"
서초양식당,4.1,강남역,세계음식 기타,27,"62,043"
하프커피 (강남점),4.1,방배/반포/잠원,카페 / 디저트,61,"27,806"
소브레메사 (휴업중),4.1,강남역,세계음식 기타,22,"69,130"
상아김밥&떡볶이 (본점),4.1,방배/반포/잠원,기타 한식,24,"17,774"
줄리에뜨,4.1,방배/반포/잠원,카페 / 디저트,37,"51,996"
프로간장게장 (신사본점),4.1,방배/반포/잠원,한정식 / 백반 / 정통 한식,99,"112,877"
한소반 (청계산점),4.1,양재동,고기 요리,32,"71,144"
김영모과자점 (서초성당점),4.1,교대/서초,베이커리,98,"63,466"
고깃집열,4.1,강남역,고기 요리,31,"59,209"
육즙을 품다,4.1,강남역,고기 요리,21,"28,121"
라비드쿤,4.1,양재동,프랑스 음식,30,"34,812"
공간21,4.1,교대/서초,카페 / 디저트,16,"39,801"
진동둔횟집,4.1,방배/반포/잠원,해산물 요리,17,"15,734"
한양돈까스,4.1,양재동,기타 한식,32,"16,733"
라포레,4.1,교대/서초,이탈리안,11,"8,503"
멘쇼쿠,4.1,방배/반포/잠원,라멘 / 소바 / 우동,11,"4,738"
미요,4.1,서래마을,정통 중식 / 일반 중식,8,"13,367"
버거베어 (신사본점),4.1,방배/반포/잠원,브런치 / 버거 / 샌드위치,22,"12,776"
치코,4.1,양재동,남미 음식,19,"25,257"
다피타 (2호점),4.1,교대/서초,이탈리안,17,"12,562"
거북이,4.1,방배/반포/잠원,카페 / 디저트,17,"9,524"
민이네식빵,4.1,동작/사당,베이커리,28,"32,878"
라디치,4.1,서래마을,이탈리안,6,986
도프피자베이커스,4.1,양재동,기타 양식,11,"4,400"
따올라이,4.1,방배/반포/잠원,태국 음식,18,"15,572"
다 피타 시그니처,4.1,방배/반포/잠원,이탈리안,15,"16,360"
파이브브루잉,4.1,방배/반포/잠원,카페 / 디저트,5,476
유미분,4.1,방배/반포/잠원,기타 한식,7,794
서초갈비 (서초본점),4.1,강남역,고기 요리,12,"32,830"
